idx,idx_running,time,X,Y,Z,Psi,Theta,Phi
1,1,0.05,974.678921491766,-0.999999824561413,-700,-2.87753907555086,-0.349434637287338,1.4781209778072
2,2,0.1,974.677382524913,-1.99999859649152,-700,-2.86311000692467,-0.475510258981354,1.43964831292142
3,3,0.15,974.674817581957,-2.99999526316014,-700,-2.84162322874691,-0.600899576470029,1.39582061964574
4,4,0.2,974.6712266656,-3.99998877193928,-700,-3.0437485646418,-0.620362159764704,1.51139469304302
5,5,0.25,974.66660977962,-4.99997807020429,-700,-3.0332515738802,-0.750507581674671,1.49323005577819
6,6,0.3,974.660966928878,-5.99996210533496,-700,-2.81258059932167,-0.725224345581752,1.34374535961287
7,7,0.35,974.654298119313,-6.99993982471659,-700,-2.76753893242595,-0.847869633663902,1.27880424844989
8,8,0.4,974.646603357945,-7.99991017574116,-700,-3.0193951948005,-0.880442700319418,1.47001983484238
9,9,0.45,974.637882652875,-8.99987210580839,-700,3.00195356281506,-0.880442700319418,1.67157281874741
10,10,0.5,974.628136013281,-9.99982456232687,-700,2.7500973004405,-0.847869633663902,1.86278840513991
11,11,0.55,974.617363449424,-10.9997664927151,-700,2.79513896733622,-0.725224345581752,1.79784729397692
12,12,0.6,974.605564972642,-11.9996968444029,-700,3.01580994189475,-0.750507581674671,1.6483625978116
13,13,0.65,974.592740595356,-12.9996145648319,-700,3.02630693265635,-0.620362159764704,1.63019796054677
14,14,0.7,974.578890331064,-13.9995186014573,-700,2.82418159676146,-0.600899576470029,1.74577203394405
15,15,0.75,974.564014194346,-14.9994079017486,-700,2.84566837493922,-0.475510258981354,1.70194434066837
16,16,0.8,974.548112200861,-15.9992814131908,-700,2.86009744356541,-0.349434637287339,1.6634716757826
17,17,0.85,974.531184367348,-16.9991380832857,-700,3.03556410390168,-0.359730730618011,1.60205253893846
18,18,0.9,974.513230711626,-17.9989768595526,-700,3.02913088749457,-0.490087367388347,1.61514132194813
19,19,0.95,974.494251252592,-18.9987966895298,-700,-3.06709208652172,-0.490087367388347,1.52645133164166
20,20,1,974.474246010226,-19.9985965207753,-700,-3.07352530292883,-0.359730730618011,1.53954011465134
